STATIONS
335|Václavy|8|
336|Sídliště Červený Vrch|P|
337|Topolová|P|
338|Bruselská|P|
339|Markvartice,Rakov,Čakan|10|
340|Nový Knín,Libčice|5|
341|hr.VUSC 0200/0420 02|-|
342|Košice,rozc.|5|
343|Chlum,hl.sil.|-|
344|Prebslova|P|
345|Vackova|P|
346|Předboj,Rozc.|2|
347|Nádraží Horní Měcholupy|P|
348|Králův Dvůr,Karlova Huť|4|
349|Benátky n.Jiz.,u hřbitova|5|
350|Lysá n.L.,Litol,Boženy Němcové|3|
351|Milostín,Povlčín|8|
352|Továrny Hostivař|0|
353|Zelená liška|P|
354|Mnichovo Hradiště,Hněvousice|9|
355|Poříčí n.Sáz.|4|
356|Bystřice,škola|6|
357|Miřetice|8|
358|Mutějovice,Na Příči|8|
359|Cukrovar Čakovice|P|
360|Hrejkovice,ObÚ|10|
361|Bakov n.Jiz.,Zvířetice|8|
362|Rosečská|P|
363|Zvole|2|
364|Kořenov,Příchovice,Motorest|-|
365|Kladno,Poldi|3|
366|Dobřív,chaty|-|
367|Na Knížecí|P|
368|Drnek,hl.sil.|5|
369|Vajgarská|P|
370|Stochov|5|
371|Průmstav|P|
372|Högerova|P|
373|Benešov,Baba|5|
374|Neveklov,Bělice,Rozc.|6|
375|Červené Pečky,Dolany|6|
376|Lochovice,nám.|5|
377|vl. v km 6,470|-|
378|Milý,Bor|6|
379|Vrbova|P|
380|Pohoří,Pohorka|3|
381|Kladruby,rozc.|8|
382|Kladno-Rozdělov|3|
383|Kosoř|1|
384|Dobrovice,Švermovy sady|6|
385|Husí Lhota|8|
386|Poříčí nad Sázavou-Svárov|4|
387|Kokořín,Janova Ves|5|
388|Nákladové nádraží Žižkov|P|
389|Hostomice,Lštěň,rozc.|5|
390|Jablonná,Placy|6|
391|Kamenice,Kuklík|3|
392|Trnová|1|
393|Únětice,Obecní úřad|1|
394|Podluhy|6|
395|Dobročovice|1|
396|Brodecká|P|
397|Maniny|P|
398|Podolská vodárna|P|
399|Závodiště Chuchle|P|
400|Brumlovka|0|
401|Těně|7|
402|Odřepsy|6|
403|Odolena Voda,Dolínek|2|
404|Čáslavsko|10|
405|Dolní Hbity,Jelence|7|
406|Hvožďany|9|
407|Petrovice,Žemličkova Lhota,rozc.Obděnice|9|
408|Domov seniorů Ďáblice|P|
409|Nezabudice|6|
410|Poliklinika Na Dlouhém Lánu|P|
411|Vraný,bytovky|6|
412|Pavlišovská|P|
413|Břetislavka|B|
414|Kralupy n.Vlt.,Modrá hvězda|3|
415|Čelákovice,Toušeňská|2|
416|Dřevčice,Cihelna|1|
417|OC Stromovka|P|
418|Nymburk,Poliklinika|5|
419|Poliklinika Modřany|P|
420|Vodslivy,rozc.|4,5|
421|Černošice|1|
422|Mnichovice,nám.|2|
423|Kazín|P|
424|Dlouhá Lhota,žel.zast.|8|
425|Páleč|5|
426|Dolnoměcholupská|0|
427|Praha M.n.-Hrabovka|-|
428|Soběhrdy,Mezihoří|5|
429|Vidice,Karlov|5|
430|Vlkaneč,ZŠ|9|
431|Beroun,Velké sídliště|4|
432|Dolnokřeslická|P|
433|Hostivice,Ve Vilkách|1|
434|Stochov,Slovanka|5|
435|MB hl.n. kol.č. 5c|-|
436|Jiřice|4|
437|Malíkovice,Hvězda,horní|5|
438|Generála Janouška|P|
439|Kunratická škola|P|
440|Ujkovice,křižovatka|8|
441|Neustupov,Bořetice|8|
442|Podkovářská|P|
443|Mukařov,škola|2|
444|Příbram,Drkolnov,Podbrdská|7|
445|Žiželice,škola|9|
446|Dolní Břežany,Hradišťátko|1|
447|Jičín zast.|-|
448|Na Jelenách|P|
449|Vojkov,Křenovice|7|
450|Bratčice,u mostu|9|
451|Kralupy n.Vlt.,Synthos|3|
452|Církvice,U Mlýna|6|
453|Mladá Boleslav,Boleslavská|7|
454|Terminál 2|P|
455|Terminál 3|B|
456|Terminál 1|B|
457|Seletice|7|
458|Mnichovo Hradiště,Klášterská|9|
459|Náměstí Míru|P|
460|Krakov|P|
461|Horní Beřkovice,točna|5|
462|Zdiby,Výzkumný ústav|1|
463|Načeradec,rozc.Pravětice|9|
464|Velké Popovice,Todice|2|
465|Říčany,Prům.zóna Zděbrady|1|
466|Říčany,Na Kavčí skále|1|
467|Goetheho|P|
468|Semínova Lhota|-|
469|Petrovice II,Staré Nespeřice|7|
470|Brechtova|P|
471|Kaliště,Poddubí|3|
472|Kladno,Kübeck|3|
473|Železný Brod,sokolovna|-|
474|Heřmaničky,Velké Heřmanice|8|
475|Dvory|5|
476|Domašín|7|
477|Hluboš,Loudilka|6|
478|Dejvická|P|
479|Příšovice,sídl.|10|
480|Jenerálka|P|
481|Oplany|4|
482|Na Lysinách|P|
483|Zavidov,žel.zast.|8|
484|Mrač|5|
485|Hobšovice,Skůry|5|
486|Perlit|P|
487|Oderská|P|
